iter	Passed	Remaining
0	24	24318
1	41	20952
2	196	65316
3	262	65396
4	266	52997
5	349	57925
6	353	50092
7	432	53599
8	485	53478
9	506	50153
10	512	46043
11	522	42989
12	527	40062
13	561	39523
14	615	40405
15	6216	679	316	6217	693	317	632	34530
18	6319	767	37588
20	895	41728
21	946	42085
22	949	40349
23	954	38802
24	1070	41757
25	1073	40233
26	1076	38811
27	1080	37498
28	1157	38771
29	1161	37550
30	1163	36378
31	1167	35318
32	1169	34262
33	1275	36231
34	1279	35263
35	1256	33639
36	1262	32850
37	1305	33045
38	1425	35120
39	1432	34373
40	1435	33584
41	1535	35029
42	1538	34247
43	1614	35083
44	1618	34355
45	1621	33637
46	1712	34724
47	1716	34041
48	1775	34463
49	1779	33818
50	1793	33380
51	1841	33576
52	1870	33417
53	1877	32898
54	1916	32926
55	1922	32408
56	2001	33120
57	2005	32571
58	2083	33223
59	2085	32674
60	2089	32167
61	2186	33086
62	2190	32576
63	2242	32796
64	2244	32283
65	2279	32263
66	2283	31798
67	2288	31364
68	2355	31776
69	2359	31350
70	2381	31157
71	2416	31139
72	2418	30717
73	2474	30969
74	2485	30650
75	2535	30822
76	2618	31386
77	2623	31013
78	2679	31234
79	2683	30862
80	2730	30982
81	2775	31075
82	2779	30707
83	2853	31113
84	2880	31009
85	2884	30659
86	2888	30308
87	2926	30325
88	2935	30047
89	2944	29772
90	2945	29427
91	2947	29088
92	2998	29247
93	3012	29032
94	3049	29052
95	3100	29198
96	3104	28900
97	3107	28605
98	3212	29236
99	3228	29057
100	3231	28765
101	3267	28764
102	3269	28470
103	3271	28181
104	3272	27897
105	3274	27615
106	3276	27344
107	3277	27071
108	3279	26804
109	3282	26558
110	3284	26305
111	3289	26079
112	3295	25869
113	3300	25649
114	3310	25478
115	3314	25260
116	3319	25050
117	3322	24835
118	3403	25194
119	3416	25057
120	3420	24850
121	3452	24848
122	3455	24639
123	3495	24696
124	3503	24527
125	3552	24643
126	3555	24442
127	3580	24394
128	3583	24197
129	3605	24125
130	3613	23968
131	3615	23775
132	3623	23618
133	3643	23546
134	3645	23358
135	3667	23300
136	3671	23128
137	3703	23135
138	3708	22972
139	3714	22816
140	3721	22673
141	3729	22536
142	3771	22603
143	3790	22531
144	3811	22472
145	3842	22473
146	3876	22494
147	3893	22413
148	3913	22350
149	3967	22483
150	3975	22349
151	3977	22188
152	3979	22028
153	3981	21870
154	4060	22136
155	4087	22116
156	4091	21969
157	4138	22052
158	4140	21897
159	4141	21743
160	4148	21616
161	4149	21466
162	4151	21317
163	4153	21170
164	4154	21025
1166	4217	21037
167	4219	20894
168	4227	20785
169	4305	21022
170	4308	20889
171	4352	20951
172	4358	20834
173	4422	20992
174	4425	20863
175	4471	20932
176	4482	20843
177	4595	21219
178	4599	21094
179	4642	21147
180	4708	21306
181	4740	21305
182	4744	21180
183	4801	21292
184	4812	21201
185	4856	21252
186	4860	21130
187	4917	21238
188	4932	21164
189	4978	21222
190	5023	21279
191	5026	21152
192	5029	21029
193	5031	20903
194	5032	20777
195	5034	20652
196	5036	20528
197	5038	20406
198	5039	20286
199	5041	20166
200	5043	20048
201	5045	19930
202	5046	19814202	5079	19941
203	5082	19830
204	5120	19857
205	5123	19745
206	5125	19634
2208	5185	19626
209	5195	19543
210	5228	19549
211	5229	19438
212	5230	19326
213	5232	19217
214	5233	19108
215	5234	19000
216	5244	18923
217	5246	18819
218	5282	18837
219	5300	18792
220	5391	19005
221	5393	18902
222	5459	19022
223	5462	18924
224	5465	18826
225	5537	18966
226	5549	18896
227	5550	18793
228	5551	18692
229	5577	18673
230	5581	18581
231	5594	18518
232	5646	18586
233	5649	18492
234	5691	18529
235	5694	18435
236	5749	18511
237	5757	18433
238	5760	18343
239	5783	18314
240	5791	18239
241	5793	18146
242	5827	18153
243	5828	18060
244	5831	17970
245	5835	17885
246	5858	17859
247	5860	17771
248	5862	17682
249	5864	17594
250	5866	17507
251	5881	17458
252	5923	17488
253	5925	17403
254	5971	17445
255	5983	17389
256	5987	17308
257	6041	17375
258	6044	17294
259	6125	17435
260	6154	17425
261	6216	17509
262	6249	17512
263	6252	17431
264	6301	17478
265	6308	17406
266	6314	17334
267	6330	17291
268	6343	17238
269	6385	17263
270	6422	17277
271	6431	17213
272	6476	17246
273	6482	17175
274	6569	17319
275	6585	17273
276	6592	17205
277	6597	17134
278	6598	17052
279	6599	16971
280	6603	16895
281	6729	17133
282	6732	17058
283	6735	16980
284	6815	17099
285	6819	17024
286	6859	17040
287	6861	16962
288	6919	17022
289	6992	17119
290	7036	17144
291	7147	17331
292	7154	17263
293	7155	17184
294	7158	17107
295	7189	17100
296	7191	17022
297	7192	16944
298	7194	16866
299	7195	16790
300	7197	16714
301	7200	16641
302	7201	16565
303	7203	16491
304	7204	16417
305	7206	16343
306	7207	16270
307	7209	16197
308	7211	16126
309	7213	16055
310	7215	15984
311	7216	15913
312	7217	15842
313	7323	16000
314	7432	16162
315	7444	16114
316	7471	16098
317	7483	16048
318	7531	16079
319	7535	16012
320	7587	16048
321	7591	15984
322	7640	16013
323	7646	15954
324	7687	15965
325	7691	15901
326	7741	15932
327	7749	15877
328	7811	15932
329	7814	15865
330	7820	15806
331	7867	15829
332	7870	15764
333	7876	15706
334	7879	15640
335	7894	15601
336	7897	15536
337	7898	15470
338	7900	15404
339	7901	15338
340	7916	15298
341	8010	15411
342	8088	15493
343	8093	15433
344	8108	15394
345	8124	15357
346	8162	15360
347	8166	15299
348	8174	15248
349	8177	15186
350	8179	15123
351	8180	15059
352	8182	14997
353	8184	14936
354	8186	14873
355	8188	14812
356	8190	14751
357	8192	14692
358	8197	14636
359	8199	14576
360	8202	14518
361	8210	14469
362	8222	14428
363	8224	14370
364	8226	14311
365	8246	14284
366	8248	14227
367	8250	14168
368	8289	14175
